399,399,LP7giENLu7NDsybw5Xv7YP7zMF0-,22,276786,{150++14666++25142++38943++51047++64295++73974++86102++102730++120067++129070++143459++154952++164650++176106++186557++197466++210315++222841++242043++256851++271122}
405,405,mnVU6fpRB6mAom61yJZ.dApU6xo-,12,267200,{150++28562++47404++76547++106059++125199++141202++162504++183637++205011++227470++245080}
2960,2960,QEaR6jRqJB9ZWceolcQmwFuxP1s-,6,114064,{150++11550++35025++47025++66750++80025}
415,415,_OCscZPeDxDEievcSxON4o26VvQ-,4,105401,{150++29260++45013++89563}
667,667,t2zd7sX67licXtHrW2dlt3fMSjk-,11,287075,{150++30016++52747++71358++98768++125623++143502++165994++190451++219461++247488}
668,668,ArXAaeDb0ny8TgNqQxSYU7ygX.k-,14,264127,{150++27249++44688++60852++85522++108294++114234++131612++153015++184859++188669++205173++229132++233322}
468,468,XUiS60IMkSCojPpNFthHkCxU4fE-,26,343005,{150++17774++29826++40769++52221++65512++73405++90806++104299++115166++130902++144555++159630++171755++188587++193958++216389++221369++236311++248237++258651++270152++286327++293223++314379++328646}
452,452,29H.TwtNBnrQzNqtWs1qjxBbecE-,14,248122,{150++17531++41132++59729++70334++86236++105024++123226++141470++159099++177423++194253++210363++227936}
1405,1405,_KHTLah0XEQnc5VTomQ_fV1.Jhs-,14,161240,{150++11419++20825++36019++48341++58790++71066++83243++96052++107591++118677++129774++140045++150832}
480,480,2q1Ptw4bUzQYIJ_504UkpZyOlkk-,22,329895,{150++20738++33899++46407++62955++80558++95646++111449++127234++141615++162193++178781++195746++208512++223065++236233++246258++262744++274672++289535++302848++322616}
482,482,wWKVCJInzuXL5nWCmglCzc2kpAs-,17,324613,{150++18346++28869++41337++65815++85860++98195++114772++130013++152059++169342++190668++210009++234373++257230++272422++290260}
593,593,l1tgRmPz1VdUmS9jvp7zy1IkhT4-,10,209540,{150++24075++45089++49656++73723++96145++115677++139098++158523++178385}
594,594,faeYJHV_k4b5J36N.YSsT4b6o4M-,10,162846,{150++17306++32548++47880++63559++74149++88620++105524++127856++144335}
