24438,d5b38919-f3b3-4edc-bcd6-417a1139ae3f,Zapp & Roger,Zapp & Roger,\N,\N,\N,\N,\N,\N,2,\N,\N,,0,2012-07-09 10:51:08.031555+00,f,\N,\N
676325,4948f3fa-c1b2-41ff-9da3-d1a3168d9d25,Halls of the Machine,Halls of the Machine,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,2010-05-13 10:32:58.927133+00,f,\N,\N
850889,7c36e8c0-df40-492a-8bcd-dd20d691c593,Paul Tracey,Tracey+V+ Paul,\N,\N,\N,\N,\N,\N,1,193,1,,0,2011-12-28 00:00:30.097903+00,f,\N,\N
1512241,f95339b5-7f4d-4519-a7cc-3934589e0726,David Brown,Brown+V+ David,\N,\N,\N,\N,\N,\N,\N,\N,\N,busker,0,2017-05-21 18:35:04.464315+00,f,\N,\N
1597097,ef14eaa7-073e-4dc7-9c3c-e4b364b4147d,Loren,Loren,\N,\N,\N,\N,\N,\N,2,378,\N,Three piece Australian band - North Coast NSW,0,2017-12-16 11:33:51.375457+00,f,\N,\N
754266,d83f6b4a-6568-46e0-b15b-1ef498d8457d,Kaya,Kaya,2003,\N,\N,\N,\N,\N,2,99,\N,Bengali folk fusion band from Kolkata+V+ India,0,2023-11-02 13:26:35.220377+00,f,\N,\N
816593,b34ecaaa-2396-4d24-af1a-b0285091697f,Bob Kemmis,Kemmis+V+ Bob,\N,\N,\N,\N,\N,\N,1,38,1,,0,2011-07-18 03:49:12.939029+00,f,\N,\N
285431,b28ecf69-f3eb-4b5a-9911-99d347ba3de1,William Brooks,Brooks+V+ William,\N,\N,\N,\N,\N,\N,1,222,1,folk musician,0,2015-01-30 00:44:57.96961+00,f,297,\N
47027,c4af6041-f886-491a-81dc-c4c8245c4bd5,Billie Ray Martin,Martin+V+ Billie Ray,1970,\N,\N,\N,\N,\N,1,81,2,,0,2018-11-16 08:00:25.721445+00,f,331,\N
288757,ddac16db-9223-47e9-89bd-482ca8dac075,Enamel,Enamel,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f,\N,\N
1510782,18445829-d968-47c4-be0d-550e373ea71b,Alpha,Alpha,\N,\N,\N,\N,\N,\N,1,286,1,Christopher Thompson,0,2017-05-18 13:20:02.823001+00,f,\N,\N
889623,a6e0fac3-b2d0-4b5b-b6ac-cc5303052393,Jim Goodin,Goodin+V+ Jim,\N,\N,\N,\N,\N,\N,1,\N,1,,0,2012-05-04 12:30:36.07047+00,f,\N,\N
648234,538e564b-e956-4b04-90c2-51498116f9f2,Panacea,Panacea,\N,\N,\N,\N,\N,\N,\N,\N,\N,unknown artist+V+ album "Thank You+V+ Come Again",0,2009-10-09 05:28:37.150676+00,f,\N,\N
1898307,a9fc8e2f-ee22-43f4-9bd5-84d3cdbd675c,Z,Z,\N,\N,\N,\N,\N,\N,1,107,1,BEMANI,0,2020-04-15 09:00:20.951669+00,f,\N,\N
447859,c06826a1-d82d-4617-92f6-0bee32e2ae9b,Diaga,Diaga,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f,\N,\N
301533,34a9eed6-1f6a-4032-b142-4d1f58325d7e,Warfield,Warfield,\N,\N,\N,\N,\N,\N,2,\N,\N,,0,\N,f,\N,\N
307675,e26cd4b9-74e5-4c86-bd51-0df2555f1e81,David Cedeño,David Cedeño,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f,\N,\N
307893,305a2c25-c57f-44f9-a060-cef77244f5c9,Assrockers,Assrockers,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f,\N,\N
314972,4e78d256-44c4-4632-98f7-95067fda6bd4,Viper,Viper,\N,\N,\N,\N,\N,\N,2,221,\N,psytrance goa producers,0,2012-08-21 19:29:42.384275+00,f,\N,\N
630527,5aeaf0d1-63cc-4c6f-b946-45d9fee1948e,Jesse James,James+V+ Jesse,\N,\N,\N,\N,\N,\N,1,222,1,US pre-war blues singer/pianist,0,2021-03-28 07:40:35.251616+00,f,\N,\N
314173,1e067ff0-8d87-4b00-bccb-93ff0757e0ff,Erin Hay,Hay+V+ Erin,\N,\N,\N,\N,\N,\N,1,\N,\N,,0,\N,f,\N,\N
318452,75e0e136-c7a7-43e0-b1ce-6da450cbae93,John Kusiak,Kusiak+V+ John,1948,7,20,\N,\N,\N,1,222,1,,0,2020-11-24 06:42:19.068239+00,f,\N,\N
318762,84df9b10-3e87-46c2-b37a-a90d3980ec01,The Wallets,Wallets+V+ The,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f,\N,\N
